time,value
0,6.215586175857766
1,8.800147387204861
2,6.447869557076486
3,6.1111925913480185
4,2.599490252896873
5,1.105510877668739
6,3.989065741312288
7,4.43664064458289
8,7.15672723790966
9,7.371811639943924
10,5.034575549545928
11,7.142125520574392
12,7.700149626484325
13,9.67572526145276
14,12.08841818522105
15,8.930853959596362
16,7.686583562288549
17,5.746457044304051
18,4.24805660919977
19,8.06506124854549
20,8.811560468138163
21,10.617797594192467
22,10.741299229055414
23,8.245099966960089
24,10.354281351453853
25,12.310783339192332
26,13.206779897103484
27,14.829547127510013
28,11.358582427056982
29,9.11940513191265
30,8.960054184322482
31,8.160132924081793
32,11.788349992786433
33,13.206438935081172
34,12.266904476195203
35,13.98179396156929
36,12.03805957309232
37,13.823324732792953
38,17.25837181475114
39,16.635647988473337
40,17.01160135302632
41,13.92739733100345
42,11.001313033106712
43,12.421371760251928
44,12.434969723476058
45,15.289485268443123
46,17.13105774381103
47,15.026867212933565
48,16.373475779271168
49,15.955133076794567
50,17.499819428330884
51,20.990901382484115
52,19.47749156983409
53,18.67872804030938
54,16.702638298272003
55,13.64098662170115
56,15.997853813561894
57,17.2851304632168
58,18.501026003320913
59,20.333848721299645
60,17.85559763493196
61,19.041892638805816
62,20.60993689813819
63,21.267677176022637
64,24.977696134632236
65,22.962590069624806
66,20.589414810651384
67,19.205718192077796
68,16.748154450794075
69,19.57994846855771
70,21.87621441192974
71,21.666318986541764
72,23.39189083487591
73,21.522132569444395
74,22.26246941119318
75,24.77318223533888
76,25.088222453688807
77,27.490143789401166
78,25.271350260613364
79,21.79378342959777
80,21.767441752904258
81,20.54412957953948
82,23.400003700044056
83,25.86711489582592
84,24.880948817870664
85,26.429399617763238
86,25.11748703905581
87,25.211085048764748
88,29.384798132591385
89,29.161040905364846
90,29.91425135285724
91,27.7303821187264
92,23.696759434327394
93,24.595621328544702
94,24.938872205572288
95,26.78577743403184
96,29.863976545762448
97,27.82462823295343
98,28.283180483649733
99,28.74238452271805
100,28.996147250381856
101,33.37376195597385
102,32.6863045959066
103,31.26872656648709
104,29.99491212491169
105,26.265698013008254
106,27.569566767822426
107,29.638708985309233
108,30.286449583714823
109,32.91200162112088
110,31.07358904489677
111,31.084450467435317
112,32.89866159687032
113,33.26413918619867
114,36.42988360556633
115,36.47161569741523
116,33.07451671014349
117,32.3390726719111
118,29.657210004694907
119,31.086967123020806
120,34.10364288142811
121,34.109553958405634
122,35.937710766592616
123,34.603361713655566
124,33.926509307207226
125,36.95512839153434
126,38.13574721356363
127,39.59203166610375
128,38.95962456446859
129,34.819528904091605
130,34.33149274893914
131,33.72153647166511
132,34.616322584813794
133,38.36385279759898
134,37.48750207169849
135,38.178397024158606
136,38.17840319011033
137,37.03324951126032
138,41.09627009159669
139,41.82079560420524
140,41.82970295120067
141,41.999337043857295
142,37.01993559072851
143,36.619046297186486
144,37.73153773068275
145,38.32452749528302
146,41.97251094300126
147,41.35018562203212
148,40.75654883986235
149,41.69403449216404
150,41.47426629821466
151,44.61605196360061
152,46.135822903026
153,43.880532990316
154,43.27606928859944
155,39.65195505525128
156,39.353955787844164
157,42.16870721450997
158,42.482105833779556
159,45.08163800953071
160,44.61238941116923
161,42.94095984358312
162,45.09605100909789
163,45.54333328079311
164,48.10641976271785
165,49.59439583348722
166,46.72282431875194
167,45.10930662161487
168,42.78176680035329
169,42.83257818146849
170,46.23744137256926
171,46.52739123084667
172,47.98927945842994
173,47.86195239091714
174,45.91273844563608
175,48.79161404819958
176,50.1636788495186
177,51.127353869061025
178,52.39340369676408
179,48.230126541876565
180,46.80291083381731
181,46.500469858965594
182,46.51153887016747
183,50.685687032931426
184,50.69276823526074
185,50.37047985712465
186,51.07568776896148
187,49.41084621237456
188,52.401770452498916
189,54.67987520871661
190,54.44682619840353
191,54.5988808524155
192,50.70627188526609
193,48.73569327323236
194,50.259688126126825
195,50.47581032398979
196,53.75515449402916
197,54.292591558949354
198,52.702073341471994
199,54.072333710286
200,53.5675253304528
201,56.11601412793405
202,58.85628059197661
203,56.89075649834756
204,56.275499273009636
205,53.68036056782778
206,51.274085054585875
207,54.26227872400678
208,54.75293898509029
209,56.816195300280356
210,58.166130693427974
211,55.3704215530792
212,57.06144955179262
213,58.285086637685296
214,59.47276077386066
215,62.61907488468164
216,59.553914873334854
217,57.62014009097894
218,56.20361814755555
219,54.40416265401496
220,58.06011052938229
221,59.35361733698279
222,59.783963801223656
223,61.06478206737896
224,58.534168699510545
225,60.565868609371016
226,62.83843105335376
227,63.070486750380915
228,65.20965486143767
229,62.05148091969334
230,59.172652935400464
231,59.40508341104243
232,58.32267607070539
233,61.87738760953269
234,63.96752476056137
235,62.37428618181126
236,63.595325187262866
237,62.815289982104055
238,64.0560635691296
239,67.1186166229521
240,66.58923498267978
241,67.33310709057565
242,64.58558930362587
243,61.154906845875956
244,62.52810020718774
245,62.76063191261077
246,65.40234138088263
247,67.34197493225834
248,65.4167300263594
249,66.21372790675623
250,66.47944973504877
251,67.30701754222285
252,71.21747269077309
253,70.0593681242068
254,69.15482535120309
255,66.96839944763806
256,63.790403825259084
257,65.96783383501536
258,67.52654972659327
259,68.8510080604066
260,70.73539835017957
261,68.40068047860147
262,68.88803196496266
263,70.82294980485031
264,71.30825892720492
265,74.55267539297526
266,73.2979161633306
267,70.3601472429711
268,69.57359082085331
269,67.03297013072002
270,69.57143035251734
271,72.07265463805098
272,72.019601749182
273,73.65937512126948
274,71.84745156186229
275,72.11347331872543
276,75.03913004305889
277,75.35529211013751
278,77.59326192125623
279,76.21348668943175
280,72.103618453838
281,71.95271449838805
282,71.22125755070047
283,73.02046224286255
