model_name,skill_score
arima,0.041509837269292915
chronos,-0.1802645232169915
croston_classic,-0.5312204294726854
exponential_smoothing,0.1975574416375513
lafn,-0.13383566078139286
lagllama,-1.8271718290212093
lstm,-0.3600312093465825
moirai,0.3519995123520093
moirai_moe,-1.5026344482977119
moment,-1.0287900326800066
prophet,-0.10829745022479931
random_forest,-0.47339753698157216
seasonal_naive,0.0
svr,-0.4859103606341022
tabpfn,-0.048852244343303486
theta,-1.011069249954561
timesfm,0.2575727649763735
tiny_time_mixer,-0.11632344987946741
toto,0.16999379963369254
xgboost,-1.1836373461738945
