model_name,skill_score
arima,0.05308969736660718
chronos,-0.24592383118474537
croston_classic,-0.522036154376468
exponential_smoothing,0.20271602409660194
lafn,-0.24274655718674132
lagllama,-1.8682793178063646
lstm,-0.458627501790162
moirai,0.2636509404239783
moirai_moe,-1.4849082226346195
moment,-0.9571030576579325
prophet,-0.07144738456405308
random_forest,-0.4730649822012867
seasonal_naive,0.0
svr,-0.5179935232378059
tabpfn,-0.11531414380885963
theta,-0.9175623294635993
timesfm,0.18148227447430065
tiny_time_mixer,-0.2076070217028838
toto,-0.028926447059384852
xgboost,-1.1657359922542456
