model_name,average_win_rate
arima,0.5860655737704918
chronos,0.625
croston_classic,0.48360655737704916
exponential_smoothing,0.5809426229508197
lafn,0.5819672131147541
lagllama,0.1885245901639344
lstm,0.6188524590163934
moirai,0.7192622950819673
moirai_moe,0.3422131147540984
moment,0.4323770491803279
prophet,0.4036885245901639
random_forest,0.5174180327868853
seasonal_naive,0.34938524590163933
svr,0.49077868852459017
tabpfn,0.6372950819672131
theta,0.24795081967213115
timesfm,0.7233606557377049
tiny_time_mixer,0.6021276595744681
toto,0.48565573770491804
xgboost,0.36180904522613067
