model_name,skill_score
arima,0.04208819790954199
chronos,-0.0948694920296993
croston_classic,-0.4370656618940081
exponential_smoothing,0.20855563905831964
lafn,-0.11254970940643938
lagllama,-1.4039892157643044
lstm,-0.27336625421279126
moirai,0.3166153545574155
moirai_moe,-0.8774663828149496
moment,-0.8222054471216103
prophet,-0.16861628961707642
random_forest,-0.5794098804240415
seasonal_naive,0.0
svr,-0.5930549031248185
tabpfn,-0.04776212189649787
theta,-1.156585591174061
timesfm,0.2796725098265086
tiny_time_mixer,-0.1380922062103409
toto,0.1416164569452224
xgboost,-1.2238800452061644
