model_name,absent_binary_univariate_binary,chickenpox_dense_univariate_dense,coinbase_days_univariate_days,coinbase_economics_univariate_economics,delhi_climate_univariate_climate,electricity_energy_univariate_energy,employees_healthcare_univariate_healthcare,federalfuns_weeks_univariate_weeks,forestfires_continuous_univariate_continuous,german_quaterly_univariate_quaterly,germanhouses_sales_univariate_sales,inventories_months_univariate_months,invetories_manufacturing_univariate_manufacturing,madrid_transport_univariate_transport,occupancy_count_univariate_count,patient_sparse_univariate_sparse,pconsumption_years_univariate_years,retail_categorical_univariate_categorical,software_nonstationary_univariate_nonstationary,soil_nature_univariate_nature,swjobpostings_software_univariate_software,synthetic_additive2_univariate_additive2,synthetic_cyclic_univariate_cyclic,synthetic_multiplticative_univariate_multiplticative,synthetic_nonstationary_univariate_nonstationary,wtraffic_web_univariate_web
arima,1.2148304135467465,1.2668479372868324,0.1292608396414689,0.1292608396414689,0.7669331170599939,1.0225811878452853,0.5072777425786582,1.6882121634736358,1.0013592525515895,0.7549386806972375,0.7549386806972375,1.742570774808084,1.742570774808084,2.165328606369038,0.0,0.0,0.4184970679886734,0.0197061111000355,0.6790280644425032,0.0273180149431371,0.6790280644425032,0.1146872130250268,0.8726945698726088,3.955774325799654e-07,0.8450038279869947,0.1628639160258469
chronos,1.2216387378511726,1.0254357061587285,0.2695413003572955,0.1294435701753115,0.6529220385126746,0.5365367423722615,0.4548867482188898,0.732091846883996,1.0510039451872493,0.6921235872371648,0.5649474789166046,1.3595087566394124,1.3703913834796075,2.7668389315469866,0.0012483192362198,0.0176823623250863,0.3337858223146731,0.0021200636431638,0.2731922886092298,0.0208617714871364,0.3025434210455683,0.0115624677018083,1.015221326166937,8.42423469379207e-06,0.8647579087060696,0.4395149621074889
croston_classic,1.2337504912907578,1.0686724504957104,0.2107977220598526,0.2107977220598526,0.7265220087548891,1.1798469004611565,0.7674178585587791,1.7572134095840155,1.007169086252501,0.9569205622986274,0.9569205622986274,1.9519741788508904,1.9519741788508904,2.2283063110202237,2.0777030889413644e-16,2.5773034500226853e-18,0.8259758441855357,5.4489746048602684e-14,0.8083964913077014,0.0436980608648834,0.8083964913077014,0.1193105147847565,0.8452832601342748,3.823751330766313e-07,0.8351976302732593,0.105608468245934
exponential_smoothing,1.2865898457770046,1.280450856150646,0.1018123565263214,0.1018123565263214,0.6970053602690219,0.9208306515886526,0.6079272996298267,1.5015706306127676,0.9994789359895778,0.8567003840570946,0.8567003840570946,1.7797518691638687,1.7797518691638687,2.1615939542190734,0.0,0.0,0.4958534588059228,0.0,0.6244989646511873,0.0348614509427771,0.6244989646511873,0.0881984735751158,0.8732368744718961,5.666066937420458e-07,0.8413811142471528,0.1709884456051175
lafn,1.2184476525676142,0.7897657206429938,0.6459468783898511,0.6459468783898511,0.6803368428366432,0.4182710303481977,0.4276160158970952,1.2069301904290834,1.1048769189832053,0.6362819420456255,0.6362819420456255,1.575544808505713,1.575544808505713,2.6125674609131972,0.4817336274208671,4.533159457721846e-07,0.196148198527096,0.0468687805872069,0.1062597691739746,0.0167621462861737,0.1062597691739746,0.2644327457527179,0.6002024708847883,1.0995760802567527e-06,0.8529590075466769,0.231296711493587
lagllama,1.3038823234273331,1.0065799248532818,0.9619119869086168,1.08918404714007,0.7901216674532013,0.84449343122529,1.1075031722868174,2.2761150268826573,1.039957732778157,1.3784758252530966,1.2037892813695723,1.471841771552674,1.680320656813422,6.080964960283275,0.8386871855847603,0.0404782467020903,1.5101751266335988,0.3863221942982333,0.9042205889717234,0.5266029852260435,1.7163668411093804,0.343177985793639,1.2150435433258555,0.0013100754170354,0.920465685095534,0.6195538618493034
lstm,1.2352513204508049,0.791390601100575,0.2425486907173724,0.4074167636811679,0.6665241881660277,0.3548759654593782,0.2811721926009833,1.0090968054518876,0.9786152702984058,0.7504886823825757,0.8342725069839386,1.2798934089091991,1.193948561009197,2.159741376432638,0.0435188661588086,0.0006043190573157,0.4040417276260626,0.0004729039208517,0.5853302017843164,0.0615903344141952,0.7690755494158096,0.1001658812259491,0.6349831986256966,0.0006940645594373,0.8833215844451345,0.0494102616369339
moirai,1.2060526375818,0.6193365110574737,0.0848537757157922,0.0774089116032253,0.7197367352583356,0.0823886224644766,0.1727006818341119,0.84034359586779,1.3709318399533388,0.6410717274453659,0.6501752912113332,1.1656019327880895,1.1577668240506744,1.7491344996418388,0.0538681937849644,5736.6520003945225,0.0228105582645348,0.0636444247774425,0.0786750167508481,0.0027534365619518,0.0831232599404717,0.0104926395900386,0.7175202411146148,0.9688830714806776,0.8814022291301239,0.0502341023014951
moirai_moe,1.1914928676929255,0.9193839921766566,0.8529048513017496,0.8527718200321027,0.693034084532156,0.8871512964817686,1.1017927575933804,2.184323172888537,1.0559077137786048,1.3146150646375183,1.314686541697092,1.3701934075157685,1.3698945020153763,2.765097740271115,0.4268425507331095,0.038466008434392,1.5414604766876792,0.3391139925888511,0.7280479506923875,0.4230618289573952,0.7282692502053351,0.2199734644158327,0.9632410392365282,0.0043787370331716,0.8476103836699819,0.6093147378191933
moment,1.1962026294984611,0.9149049127934196,1.7962657431974334,1.8046829252198204,0.6662990286881169,1.0712569079522305,0.736363797488215,1.595556097417892,1.1006894846894424,0.7834765154820552,0.7871408459905901,1.7018941790769675,1.7022598878429924,2.677824413214026,1.055577217987794e-06,6.116979051667377e-07,1.1142140707000745,0.0493708173499642,0.7029558476305345,0.0550253186291056,0.70174758767006,0.3318731083166386,0.9905847974517966,3.765720939937621e-07,0.8402712971327096,0.5956358359889833
