model_name,average_win_rate
arima,0.5430327868852459
chronos,0.6372950819672131
croston_classic,0.5081967213114754
exponential_smoothing,0.5993852459016393
lafn,0.5594262295081968
lagllama,0.3319672131147541
lstm,0.569672131147541
moirai,0.6557377049180327
moirai_moe,0.4918032786885246
moment,0.4405737704918033
prophet,0.4139344262295082
random_forest,0.4415983606557377
seasonal_naive,0.41905737704918034
svr,0.39241803278688525
tabpfn,0.6168032786885246
theta,0.25614754098360654
timesfm,0.6721311475409836
tiny_time_mixer,0.5680851063829787
toto,0.5532786885245902
xgboost,0.29396984924623115
