model_name,average_win_rate
arima,0.5491803278688525
chronos,0.6209016393442623
croston_classic,0.48770491803278687
exponential_smoothing,0.5727459016393442
lafn,0.5983606557377049
lagllama,0.20901639344262296
lstm,0.6311475409836066
moirai,0.7172131147540983
moirai_moe,0.32581967213114754
moment,0.375
prophet,0.38729508196721313
random_forest,0.4979508196721312
seasonal_naive,0.36168032786885246
svr,0.4692622950819672
tabpfn,0.6434426229508197
theta,0.26434426229508196
timesfm,0.7418032786885246
tiny_time_mixer,0.5872340425531914
toto,0.5860655737704918
xgboost,0.3492462311557789
