model_name,skill_score
arima,0.041509837269292915
chronos,-0.1802645232169917
croston_classic,-0.5312204294726854
exponential_smoothing,0.1975574416375514
lafn,-0.13383566078139286
lagllama,-1.827171829021209
lstm,-0.3600312093465827
moirai,0.35199951235200877
moirai_moe,-1.5026344482977114
moment,-1.0287900326800061
prophet,-0.10829745022479931
random_forest,-0.47339753698157216
seasonal_naive,0.0
svr,-0.4859103606341022
tabpfn,-0.04885224434330371
theta,-1.0110692499545606
timesfm,0.25757276497637327
tiny_time_mixer,-0.11632344987946786
toto,0.1699937996336861
xgboost,-1.183637346173894
