model_name,task_name,avg_test_crps,avg_test_mae,avg_test_mape,avg_test_mase,avg_test_quantile_score,avg_test_rmse,avg_test_weighted_interval_score,best_params
moment,chickenpox_dense_univariate_dense,NA,0.7339034108028443,109.37368894304332,1.161710862787316,NA,0.9149049127934195,NA,"[(), (), (), ()]"
moment,patient_sparse_univariate_sparse,NA,5.127170884951758e-07,0.0012721711872217983,5127.170884951758,NA,6.116979051667377e-07,NA,"[(), (), (), ()]"
moment,invetories_manufacturing_univariate_manufacturing,NA,1.5453630190739582,211.78177308990618,9.044471416411994,NA,1.7022598878429924,NA,"[(), (), (), ()]"
moment,synthetic_cyclic_univariate_cyclic,NA,0.8067969647903674,103.83845257027322,1.2933517891147033,NA,0.9905847974517966,NA,"[(), (), (), ()]"
moment,employees_healthcare_univariate_healthcare,NA,0.7282899690296413,65.98605829831543,31.44242322574605,NA,0.736363797488215,NA,"[(), (), (), ()]"
moment,coinbase_days_univariate_days,NA,1.7932394587575837,212.22892744729225,57.65972426161073,NA,1.7962657431974334,NA,"[(), (), (), ()]"
moment,synthetic_nonstationary_univariate_nonstationary,NA,0.6521497507610081,108.25247321927871,0.8536976496913051,NA,0.8402712971327096,NA,"[(), (), (), ()]"
moment,software_nonstationary_univariate_nonstationary,NA,0.6878522850261651,103.58504795184366,93.38729707702056,NA,0.7029558476305345,NA,"[(), (), (), ()]"
moment,germanhouses_sales_univariate_sales,NA,0.7242598609497084,141.6826370602111,10.310099373236469,NA,0.7871408459905901,NA,"[(), (), (), ()]"
moment,coinbase_economics_univariate_economics,NA,1.8007754928573414,212.82053539246428,57.902037493173886,NA,1.8046829252198204,NA,"[(), (), (), ()]"
moment,federalfuns_weeks_univariate_weeks,NA,1.4612131143314864,67.38452207450364,14.965624006613206,NA,1.595556097417892,NA,"[(), (), (), ()]"
moment,electricity_energy_univariate_energy,NA,1.0578708987982566,121.91054077353569,18.573966713868547,NA,1.0712569079522303,NA,"[(), (), (), ()]"
moment,german_quaterly_univariate_quaterly,NA,0.7208214329053892,142.01297736661073,10.261152114474719,NA,0.7834765154820552,NA,"[(), (), (), ()]"
moment,wtraffic_web_univariate_web,NA,0.5890366453134522,96.94626806625001,68.5002238924792,NA,0.5956358359889833,NA,"[(), (), (), ()]"
moment,synthetic_multiplticative_univariate_multiplticative,NA,3.3318624494882356e-07,0.011623464342516987,1.0592504629003603,NA,3.765720939937621e-07,NA,"[(), (), (), ()]"
moment,madrid_transport_univariate_transport,NA,2.355823107112252,357.13452996879755,3.386723678290703,NA,2.677824413214026,NA,"[(), (), (), ()]"
moment,occupancy_count_univariate_count,NA,8.661972231687604e-07,0.00020349479454367483,8661.972231687603,NA,1.055577217987794e-06,NA,"[(), (), (), ()]"
moment,retail_categorical_univariate_categorical,NA,0.04368318003451311,12.817086854173917,436831800.3451311,NA,0.049370817349964215,NA,"[(), (), (), ()]"
moment,synthetic_additive2_univariate_additive2,NA,0.3308247936491822,155.08891844074896,40.352654739113746,NA,0.3318731083166386,NA,"[(), (), (), ()]"
moment,soil_nature_univariate_nature,NA,0.05446734569514602,12.88986489599221,127.61416136180287,NA,0.055025318629105674,NA,"[(), (), (), ()]"
moment,absent_binary_univariate_binary,NA,0.7401984546675853,187.53932764231055,1.7574572477264778,NA,1.1962026294984613,NA,"[(), (), (), ()]"
moment,inventories_months_univariate_months,NA,1.5447851175839256,217.62954814940633,9.041089160305443,NA,1.7018941790769675,NA,"[(), (), (), ()]"
moment,forestfires_continuous_univariate_continuous,NA,0.9668825142777462,124.65998833901652,1.096710760494711,NA,1.1006894846894424,NA,"[(), (), (), ()]"
moment,pconsumption_years_univariate_years,NA,1.1116606969166662,157.8643304451701,31.21300056347953,NA,1.1142140707000745,NA,"[(), (), (), ()]"
moment,delhi_climate_univariate_climate,NA,0.49205905096349073,116.55582610183693,1.1252327924559775,NA,0.6662990286881169,NA,"[(), (), (), ()]"
moment,swjobpostings_software_univariate_software,NA,0.6868428263501846,103.4307184970033,93.25024640594926,NA,0.70174758767006,NA,"[(), (), (), ()]"
