Timestamp,Latitude,Longitude,GHI (W per m2),DNI (W per m2),DHI (W per m2),Temp (°C),RH (%),Pressure (hPa),Dew Point (°C),Wind Speed (m per s),Cloud Type,Solar Zenith Angle (°),Target_GHI_NextHour (W per m2)
1/1/1998 0:30,39.75494271,-104.9287387,341.5811182,380.3262358,72.64985781,11.91616458,35.72852762,1010.482264,10.25031115,3.278999334,Clear,72.81835167,383.384506
1/1/1998 1:00,39.83220366,-105.0393241,177.7891752,300.146084,-34.4461561,20.98874264,98.13822267,1009.356547,19.22809726,3.180613774,Cumulus,80.39515793,654.2111732
1/1/1998 1:30,39.88051722,-104.7368754,383.384506,349.1607329,136.490584,25.18342342,39.95901351,1008.69843,21.82121883,4.424295882,Clear,30.02938313,562.8026197
1/1/1998 2:00,39.87020925,-105.0755419,654.2111732,215.0905195,502.1192083,13.27591535,67.85057851,1011.101321,11.04262229,2.273315938,Overcast,69.17304852,341.6912035
1/1/1998 2:30,39.73996161,-105.0100371,562.8026197,807.60577,-8.260896802,16.16825908,56.33911703,1017.752069,13.3543261,5.219017595,Cumulus,73.77506466,509.8418501
1/1/1998 3:00,39.64550432,-104.9981255,341.6912035,899.6128465,-294.4311408,48.61171505,54.4009455,1008.087079,47.18842235,2.277953245,Cirrus,86.58371438,278.1432857
1/1/1998 3:30,39.74450459,-105.0213322,509.8418501,266.8744696,321.1331029,28.635296,39.14071211,1005.740468,26.0761941,2.094675661,Clear,28.68574475,133.6158931
1/1/1998 4:00,39.51524419,-104.8551361,278.1432857,77.32028484,223.469588,27.90140291,61.23281242,1022.391919,25.35001405,3.454007426,Cumulus,37.62326305,400.2129415
1/1/1998 4:30,39.66768485,-104.9234363,133.6158931,690.7079964,-354.788415,17.61314887,88.97279334,1019.296217,16.78706455,3.56959728,Stratus,54.83557593,375.2166244
1/1/1998 5:00,39.6601699,-105.1157234,400.2129415,829.6359714,-186.4282798,19.09277442,52.37001233,1016.56352,17.77354825,5.52347382,Cirrus,54.60464865,269.3772602
1/1/1998 5:30,39.70198867,-105.0736854,375.2166244,261.3236909,190.4328705,11.98162042,64.07816528,1013.586315,10.01343902,2.147490223,Clear,81.02639423,394.9543501
1/1/1998 6:00,39.79232783,-104.856563,269.3772602,596.7954712,-152.6208644,8.762685539,57.14317657,1013.515154,5.300209332,2.570828981,Cumulus,0,425.9391304
1/1/1998 6:30,39.67436241,-105.0709985,394.9543501,690.4779225,-93.28727109,25.50107311,40.54493054,1016.043988,24.42284755,2.457936624,Stratus,59.23141095,729.8295643
1/1/1998 7:00,39.60872707,-104.8799114,425.9391304,252.3399184,247.5078629,27.49503426,55.74077998,1013.754062,26.49393437,4.975864271,Clear,52.83235114,92.9468594
1/1/1998 7:30,39.80401109,-105.0172005,729.8295643,812.644975,155.2027918,18.46834875,43.2945672,1013.133505,16.57193664,2.580689324,Clear,83.2570896,203.2341869
1/1/1998 8:00,39.88229881,-105.039221,92.9468594,239.8293919,-76.63812993,19.44701037,41.60061425,1018.175705,16.40443859,1.928440569,Cirrus,25.13419589,464.9335576
1/1/1998 8:30,39.7763381,-104.9496349,203.2341869,674.7793832,-273.9068908,-9.44399174,67.82338778,1009.57128,-12.53400483,2.684963912,Cirrus,56.37022557,484.0225132
1/1/1998 9:00,39.81600158,-105.0223058,464.9335576,696.6586804,-27.67851952,24.57889976,46.451353,1006.45031,22.59203217,2.581171027,Cirrus,50.08170036,351.1073776
1/1/1998 9:30,39.7399201,-104.8700962,484.0225132,815.9171826,-92.91805948,9.781960347,58.08140097,1018.898238,7.372938026,3.581616802,Cirrus,30.64301248,436.2149922
1/1/1998 10:00,39.80717245,-104.8818671,351.1073776,718.9764322,-157.2857331,17.86787739,10,1024.045958,18.26769559,3.698097602,Overcast,90,518.498175
1/1/1998 10:30,39.58116827,-104.9540509,436.2149922,659.0783628,-29.82378752,-3.250934654,33.86519848,1015.353204,-3.974500328,2.308991418,Cumulus,75.28667137,545.3807501
1/1/1998 11:00,39.71756526,-104.951505,518.498175,386.857618,244.94853,28.59258712,57.24849289,1013.782328,24.21551995,3.282895231,Cumulus,78.42009272,350.9759666
1/1/1998 11:30,39.60364379,-104.8233089,545.3807501,438.7392775,235.1452318,29.26965773,37.61534975,1000.757978,27.37083176,3.313107966,Clear,12.23424075,382.9966667
1/1/1998 12:00,39.82587418,-104.8880174,350.9759666,654.1146661,-111.5529495,16.09799214,64.13720501,1024.052305,14.61732051,2.038336806,Clear,77.19809729,157.5143314
1/1/1998 12:30,39.76926878,-104.9783206,382.9966667,612.6669754,-50.22430619,22.04390115,56.39694739,1015.019197,19.57947715,1.238893958,Cumulus,44.14698582,980.5477104
1/1/1998 13:00,39.79130749,-105.2255508,157.5143314,696.8801493,-335.2543479,15.0782458,41.0372129,1012.484105,12.97897401,3.315864232,Cirrus,83.02277239,230.1887065
1/1/1998 13:30,39.66954294,-105.06139,980.5477104,378.5395696,712.8798138,4.011850255,38.77696123,1010.516132,3.342246517,2.376243485,Overcast,40.4907646,510.4782201
1/1/1998 14:00,39.82636408,-104.935462,230.1887065,574.4175981,-175.9858723,6.562402616,50.35989153,1006.484762,3.272111258,3.330829938,Stratus,70.69563671,355.993244
1/1/1998 14:30,39.88505222,-105.0090914,510.4782201,59.72547237,468.2459336,34.23202032,78.78538005,1011.475182,31.38971174,3.544206261,Cirrus,72.55344413,407.1071974
1/1/1998 15:00,39.71139644,-104.9542017,355.993244,700.7309118,-139.4983355,-7.208597235,34.68521509,1010.967859,-8.478069853,4.806991313,Clear,77.88346963,321.7911852
1/1/1998 15:30,39.68674008,-104.9796396,407.1071974,731.4349654,-110.0954266,20.0523967,52.48680481,1005.296647,16.54074771,3.700309181,Overcast,53.88977492,541.9467126
1/1/1998 16:00,39.76067751,-104.8713808,321.7911852,50.3780418,286.1685302,-1.748797264,71.71982908,1014.412968,-4.975161289,2.250211239,Overcast,61.11267831,388.545472
1/1/1998 16:30,39.64283322,-104.9960242,541.9467126,672.369441,66.50972138,23.90727332,45.52647092,1015.781171,22.65492115,1.998417797,Overcast,35.38977826,707.3253077
1/1/1998 17:00,39.51919276,-105.1329752,388.545472,522.6326808,18.98835938,7.340309295,68.14886418,1002.641867,6.462775715,1.872035898,Stratus,70.45832569,477.3266778
1/1/1998 17:30,39.66270628,-105.0716399,707.3253077,581.2630376,296.3102722,36.69200142,34.88465717,1004.912934,36.76075422,3.706253454,Cirrus,61.01906786,259.7717005
